því	það	fpheþ
að	að	cn
vera	vera	sng
skrifuð	skrifa	sþgven
á	á	af
12.	12.	ta
öld	öld	nveþ
.	.	pl

4	4	ta
Elstu	gamall	lvfnve
varðveittu	varðveittur	lvfnvf
sögurnar	saga	nvfng
af	af	af
Noregskonungum	Noregskonungur	nkfþ-s
eru	vera	sfg3fn
tvær	tveir	tfvfn
sögur	saga	nvfn
á	á	af
latínu	latína	nveþ
,	,	pk
vafalaust	vafalaust	aa
skrifaðar	skrifa	sþgvfn
í	í	af
Noregi	Noregur	nkeþ-s
á	á	af
síðari	síðari	lkeþvm
hluta	hluti	nkeþ
12.	12.	ta
aldar	öld	nvee
.	.	pl

Önnur	annar	foven
heitir	heita	sfg3en
Historia	Historia	n----s
de	de	e
antiquitate	antiquitate	e
regum	regum	e
Norwagiensium	Norwagiensium	n----s
eftir	eftir	af
mann	maður	nkeo
sem	sem	ct
er	vera	sfg3en
nefndur	nefna	sþgken
Theodricus	Theodricus	n----s
eða	eða	c
Theodoricus	Theodoricus	n----s
í	í	af
handriti	handrit	nheþ
,	,	pk
og	og	c
er	vera	sfg3en
gert	gera	sþghen
ráð	ráð	nhen
fyrir	fyrir	af
að	að	c
það	það	fphen
sé	vera	svg3en
latínugerð	latínugerð	nven
af	af	af
nafninu	nafn	nheþg
Þórir	Þórir	nken-s
eða	eða	c
kannski	kannski	aa
Þjóðrekr	Þjóðrekr	nken-s
.	.	pl

Hin	hinn	faven
heitir	heita	sfg3en
Historia	Historia	n----s
Norwegiae	Norwegiae	n----s
og	og	c
er	vera	sfg3en
eftir	eftir	af
óþekktan	óþekktur	lkeosf
höfund	höfundur	nkeo
.	.	pl

Báðar	báðir	fovfn
eru	vera	sfg3fn
þessar	þessi	favfn
sögur	saga	nvfn
yfirlitsrit	yfirlitsrit	nhfn
,	,	pk
bók	bók	nven
Theodricusar	Theodricus	nkee-s
nær	ná	sfg3en
frá	frá	af
Haraldi	Haraldur	nkeþ-s
konungi	konungur	nkeþ
hárfagra	hárfagur	lkeþvf
til	til	af
1130	1130	ta
.	.	pl

Historia	Historia	n----s
Norwegiae	Norwegiae	n----s
hefst	hefja	sfm3en
aftur	aftur	aa
í	í	af
konungaætt	konungaætt	nveþ
Ynglinga	Ynglingur	nkfe-s
í	í	af
Svíþjóð	Svíþjóð	nveþ-s
,	,	pk
sem	sem	ct
voru	vera	sfg3fþ
taldir	telja	sþgkfn
forfeður	forfaðir	nkfn
norsku	norskur	lveevf
konungsættarinnar	konungsætt	nveeg
,	,	pk
og	og	c
nær	ná	sfg3en
til	til	af
1015	1015	ta
.	.	pl

5	5	ta
Sögurnar	saga	nvfng
voru	vera	sfg3fþ
báðar	báðir	fovfn
gefnar	gefa	sþgvfn
út	út	aa
í	í	af
bók	bók	nveþ
árið	ár	nheog
1880	1880	ta
,	,	pk
6	6	ta
en	en	c
ef	ef	c
einhver	einhver	foken
á	eiga	sfg3en
erfitt	erfiður	lheosf
með	með	af
að	að	cn
lesa	lesa	sng
latínutextann	latínutexti	nkeog
má	mega	sfg3en
benda	benda	sng
á	á	af
útgáfu	útgáfa	nveo
á	á	af
Historia	Historia	n----s
Norwegiæ	Norwegiæ	n----s
þar	þar	aa
sem	sem	c
frumtexti	frumtexti	nken
og	og	c
ensk	enskur	lvensf
þýðing	þýðing	nven
eru	vera	sfg3fn
prentuð	prentaður	lhfnsf
hlið	hlið	nven
við	við	af
hlið	hlið	nveo
,	,	pk
7	7	ta
einnig	einnig	aa
á	á	af
enska	enskur	lveosf
þýðingu	þýðing	nveo
af	af	af
sögu	saga	nveþ
Theodricusar	Theodricus	n----s
.	.	pl

8	8	ta
Norskt	norskur	lhensf
er	vera	sfg3en
sömuleiðis	sömuleiðis	aa
talið	telja	sþghen
rit	rit	nhen
á	á	af
norrænu	norræna	nveþ
frá	frá	af
svipuðum	svipaður	lkeþsf
tíma	tími	nkeþ
,	,	pk
Ágrip	ágrip	nhen
af	af	af
Noregskonunga	Noregskonungur	nkfe-s
sögum	saga	nvfþ
,	,	pk
yfirlit	yfirlit	nhen
sem	sem	ct
vantar	vanta	sfg3en
á	á	aa
bæði	bæði	c
upphaf	upphaf	nheo
og	og	c
endi	endir	nkeo
en	en	c
byrjar	byrja	sfg3en
nú	nú	aa
inni	inni	aa
í	í	af
sögu	saga	nveþ
Haralds	Haraldur	nkee-s
hárfagra	hárfagur	lkeevf
og	og	c
rekur	rekja	sfg3en
,	,	pk
á	á	af
rúmum	rúmur	lvfþsf
50	50	ta
blaðsíðum	blaðsíða	nvfþ
í	í	af
Íslenskum	íslenskur	lhfþsf
fornritum	fornrit	nhfþ
,	,	pk
sögu	saga	nveo
Noregskonunga	Noregskonungur	nkfe-s
fram	fram	aa
á	á	af
daga	dagur	nkfo
Haraldssona	Haraldsson	nkfe-s
,	,	pk
Sigurðar	Sigurður	nkee-s
,	,	pk
Eysteins	Eysteinn	nkee-s
og	og	c
Inga	Ingi	nkee-s
,	,	pk
um	um	af
miðja	miður	lveosf
12.	12.	ta
öld	öld	nveo
.	.	pl

9	9	ta
Um	um	af
svipað	svipaður	lheosf
leyti	leyti	nheo
var	vera	sfg3eþ
ort	yrkja	sþghen
til	til	af
heiðurs	heiður	nkee
höfðingjanum	höfðingi	nkeþg
Jóni	Jón	nkeþ-s
Loftssyni	Loftsson	nkeþ-s
í	í	af
Odda	Oddi	nkeþ-s
(	(	pa
d.	d.	ks

1197	1197	ta
)	)	pa
kvæðið	kvæði	nheng
Nóregs	Nóregur	nkee-s
kónga	kóngur	nkfe
tal	tal	nhen
,	,	pk
83	83	ta
erindi	erindi	nhfn
undir	undir	af
fornyrðislagi	fornyrðislag	nheþ
.	.	pl

10	10	ta
Það	það	fphen
er	vera	sfg3en
ekki	ekki	aa
mikil	mikill	lvensf
heimild	heimild	nven
að	að	af
öðru	annar	foheþ
leyti	leyti	nheþ
en	en	c
því	það	fpheþ
að	að	c
þar	þar	aa
er	vera	sfg3en
annar	annar	foken
af	af	af
tveimur	tveir	tfkfþ
stöðum	staður	nkfþ
þar	þar	aa
sem	sem	c
sagt	segja	sþghen
er	vera	sfg3en
frá	frá	af
konungasagnaritun	konungasagnaritun	nveþ
Sæmundar	Sæmundur	nkee-s
fróða	fróður	lkeevf
.	.	pl

Í	í	af
40.	40.	ta
erindi	erindi	nheþ
segir	segja	sfg3en
þetta	þessi	fahen
:	:	pa
<	<	pa
...	...	pa
>	>	pa
Enn	enn	aa
gerðist	gera	sfm3eþ
það	það	fphen
um	um	af
líkt	líkur	lheosf
leyti	leyti	nheo
að	að	c
tekið	taka	sþghen
var	vera	sfg3eþ
að	að	cn
skrifa	skrifa	sng
ævisögur	ævisaga	nvfo
einstakra	einstakur	lkfesf
konunga	konungur	nkfe
,	,	pk
um	um	af
trúboðskonungana	trúboðskonungur	nkfog
og	og	c
nafnana	nafni	nkfog
Ólaf	Ólafur	nkeo-s
Tryggvason	Tryggvason	nkeo-s
og	og	c
Ólaf	Ólafur	nkeo-s
helga	helgur	lkeovf
Haraldsson	Haraldsson	nkeo-s
,	,	pk
og	og	c
um	um	af
uppreisnarkonunginn	uppreisnarkonungur	nkeog
sem	sem	ct
braust	brjóta	sfm3eþ
til	til	af
valda	vald	nhfe
á	á	af
níunda	níundi	lkeþvf
tug	tugur	nkeþ
12	12	ta
.	.	pl
aldar	öld	nvee
,	,	pk
Sverri	Sverrir	nkeo-s
Sigurðsson	Sigurðsson	nkeo-s
.	.	pl

Ólafur	Ólafur	nken-s
helgi	helgur	lkenvf
hafði	hafa	sfg3eþ
fallið	falla	sþghen
árið	ár	nheog
1030	1030	ta
,	,	pk
og	og	c
fljótlega	fljótlega	aa
eftir	eftir	af
það	það	fpheo
virðist	virða	sfm3en
byrja	byrja	sng
að	að	cn
fara	fara	sng
orð	orð	nhen
af	af	af
því	það	fpheþ
að	að	c
hann	hann	fpken
geri	gera	svg3en
kraftaverk	kraftaverk	nhfo
.	.	pl

Um	um	af
það	það	fpheo
eru	vera	sfg3fn
vitnisburðir	vitnisburður	nkfn
í	í	af
kvæðum	kvæði	nhfþ
skálda	skáld	nhfe
.	.	pl

Ekki	ekki	aa
fer	fara	sfg3en
því	það	fpheþ
hjá	hjá	af
að	að	c
skrifaðar	skrifa	sþgvfn
hafi	hafa	svg3fn
verið	vera	sþghen
sögur	saga	nvfn
af	af	af
honum	hann	fpkeþ
strax	strax	aa
á	á	af
12.	12.	ta
öld	öld	nveþ
,	,	pk
enda	enda	c
eru	vera	sfg3fn
varðveitt	varðveita	sþghfn
brot	brot	nhfn
úr	úr	af
sögum	saga	nvfþ
sem	sem	ct
eru	vera	sfg3fn
eldri	gamall	lvfnvm
en	en	c
elsta	gamall	lvenve
varðveitta	varðveittur	lvenvf
sagan	saga	nveng
,	,	pk
svonefnd	svonefndur	lvensf
Helgisaga	helgisaga	nven-s
Ólafs	Ólafur	nkee-s
konungs	konungur	nkee
Haraldssonar	Haraldsson	nkee-s
,	,	pk
sem	sem	ct
er	vera	sfg3en
til	til	aa
í	í	af
norsku	norskur	lheþsf
handriti	handrit	nheþ
frá	frá	af
fyrri	fyrri	lkeþvm
hluta	hluti	nkeþ
13.	13.	ta
aldar	öld	nvee
.	.	pl

11	11	ta
Þá	þá	aa
eru	vera	sfg3fn
í	í	af
Flateyjarbók	Flateyjarbók	nveþ-s
,	,	pk
samsteypuhandriti	samsteypuhandrit	nheþ
frá	frá	af
lokum	lok	nhfþ
14.	14.	ta
aldar	öld	nvee
,	,	pk
nokkrir	nokkur	fokfn
kaflar	kafli	nkfn
sem	sem	ct
eru	vera	sfg3fn
sagðir	segja	sþgkfn
vera	vera	sng
úr	úr	af
Ólafssögu	Ólafssaga	nveþ-s
helga	helgur	lkeevf
eftir	eftir	af
Styrmi	Styrmir	nkeo-s
fróða	fróður	lkeovf
Kárason	Kárason	nkeo-s
,	,	pk
og	og	c
mun	munu	sfg3en
þar	þar	aa
vera	vera	sng
sá	sá	faken
maður	maður	nken
sem	sem	ct
hin	hinn	gven
glataða	glataður	lvenvf
Styrmisbók	Styrmisbók	nven-s
Landnámu	Landnáma	nvee-s
er	vera	sfg3en
kennd	kenna	sþgven
við	við	aa
(	(	pa
2.5.2	2.5.2	ta
)	)	pa
.	.	pl

12	12	ta
Um	um	af
Ólaf	Ólafur	nkeo-s
konung	konungur	nkeo
Tryggvason	Tryggvason	nkeo-s
virðast	virða	sfm3fn
tveir	tveir	tfkfn
Þingeyramunkar	Þingeyramunkar	nkfn-s
hafa	hafa	sfg3fn
skrifað	skrifa	sþghen
ævisögur	ævisaga	nvfo
á	á	af
latínu	latína	nveþ
undir	undir	aa
eða	eða	c
um	um	af
lok	lok	nhfo
12.	12.	ta
aldar	öld	nvee
.	.	pl

Annar	annar	foken
höfundanna	höfundur	nkfeg
var	vera	sfg3eþ
Gunnlaugur	Gunnlaugur	nken-s
Leifsson	Leifsson	nken-s
,	,	pk
sem	sem	ct
einnig	einnig	aa
skrifaði	skrifa	sfg3eþ
sögu	saga	nveo
Jóns	Jón	nkee-s
biskups	biskup	nkee
helga	helgur	lkeevf
(	(	pa
2.7.2	2.7.2	ta
)	)	pa
,	,	pk
og	og	c
er	vera	sfg3en
bók	bók	nven
hans	hann	fpkee
glötuð	glataður	lvensf
að	að	af
mestu	mikill	lheþse
.	.	pl

Hinn	hinn	faken
hét	heita	sfg3eþ
Oddur	Oddur	nken-s
Snorrason	Snorrason	nken-s
,	,	pk
og	og	c
er	vera	sfg3en
bók	bók	nven
hans	hann	fpkee
til	til	aa
þýdd	þýddur	lvensf
á	á	af
norrænu	norræna	nveo
og	og	c
er	vera	sfg3en
elsta	gamall	lvenve
ritheimildin	ritheimild	nveng
um	um	af
margt	margur	lheosf
í	í	af
sögu	saga	nveþ
konungs	konungur	nkee
.	.	pl

13	13	ta
Þriðji	þriðji	lkenvf
Þingeyramunkurinn	Þingeyramunkur	nkengs
sem	sem	ct
kemur	koma	sfg3en
við	við	af
þessa	þessi	faveo
sögu	saga	nveo
er	vera	sfg3en
Karl	Karl	nken-s
Jónsson	Jónsson	nken-s
ábóti	ábóti	nken
,	,	pk
og	og	c
um	um	af
hann	hann	fpkeo
segir	segja	sfg3en
að	að	c
hann	hann	fpken
hafi	hafa	svg3en
skrifað	skrifa	sþghen
fyrstu	fyrstur	lveove
viðtalsbók	viðtalsbók	nveo
Íslendings	Íslendingur	nkee-s
.	.	pl

Í	í	af
prologus	prologus	nkeþ
Sverris	Sverrir	nkee-s
sögu	saga	nvee
segir	segja	sfg3en
:	:	pa
14	14	ta
<	<	pa
...	...	pa
>	>	pa
Fræðimenn	fræðimaður	nkfn
hafa	hafa	sfg3fn
leitað	leita	sþghen
af	af	af
mikilli	mikill	lveþsf
natni	natni	nveþ
að	að	af
vísbendingum	vísbending	nvfþ
um	um	aa
hve	hve	aa
mikið	mikill	lheosf
af	af	af
sögunni	saga	nveþg
Karl	Karl	nken-s
ábóti	ábóti	nken
reisti	reisa	sfg3eþ
á	á	af
frásögn	frásögn	nveþ
Sverris	Sverrir	nkee-s
,	,	pk
hve	hve	aa
langt	langt	aa
Karl	Karl	nken-s
komst	koma	sfm3eþ
með	með	af
söguna	saga	nveog
og	og	c
hvar	hvar	aa
og	og	c
hvenær	hvenær	aa
henni	hún	fpveþ
var	vera	sfg3eþ
lokið	ljúka	sþghen
.	.	pl

15	15	ta
Jafnframt	jafnframt	af
sagnaritun	sagnaritun	nveþ
um	um	af
einstaka	einstakur	lkfosf
konunga	konungur	nkfo
var	vera	sfg3eþ
haldið	halda	sþghen
áfram	áfram	aa
yfirlitssöguritun	yfirlitssöguritun	nveþ
með	með	af
þá	hann	fpkfo
í	í	af
sögumiðju	sögumiðja	nveþ
.	.	pl

Frá	frá	af
fyrri	fyrri	lkeþvm
hluta	hluti	nkeþ
13.	13.	ta
aldar	öld	nvee
,	,	pk
frá	frá	af
því	það	fpheþ
í	í	aa
kringum	kringum	af
1220	1220	ta
segja	segja	sfg3fn
menn	maður	nkfn
gjarnan	gjarnan	aa
,	,	pk
eru	vera	sfg3fn
taldar	telja	sþgvfn
tvær	tveir	tfvfn
yfirlitsbækur	yfirlitsbók	nvfn
sem	sem	ct
báðar	báðir	fovfn
hafa	hafa	sfg3fn
hlotið	hljóta	sþghen
nöfn	nafn	nhfo
sín	sinn	fehfo
af	af	af
útliti	útlit	nheþ
handrita	handrit	nhfe
þar	þar	aa
sem	sem	c
þær	hún	fpvfn
voru	vera	sfg3fþ
,	,	pk
eða	eða	c
eru	vera	sfg3fn
,	,	pk
varðveittar	varðveittur	lvfnsf
.	.	pl

Önnur	annar	foven
er	vera	sfg3en
kölluð	kalla	sþgven
Morkinskinna	Morkinskinna	nven-s
,	,	pk
og	og	c
áður	áður	aa
en	en	c
upphaf	upphaf	nhen
hennar	hún	fpvee
og	og	c
endir	endir	nken
morknuðu	morkna	sfg3fþ
af	af	aa
hefur	hafa	sfg3en
hún	hún	fpven
líklega	líklega	aa
sagt	segja	sþghen
sögu	saga	nveo
Noregskonunga	Noregskonungur	nkfe-s
,	,	pk
kannski	kannski	aa
frá	frá	af
falli	fall	nheþ
Ólafs	Ólafur	nkee-s
konungs	konungur	nkee
Haraldssonar	Haraldsson	nkee-s
1030	1030	ta
,	,	pk
eða	eða	c
lengra	langt	aam
til	til	af
baka	bak	nhfe
,	,	pk
fram	fram	aa
til	til	af
1177	1177	ta
,	,	pk
þegar	þegar	c
Sverrir	Sverrir	nken-s
Sigurðsson	Sigurðsson	nken-s
hóf	hefja	sfg3eþ
baráttu	barátta	nveo
sína	sinn	feveo
fyrir	fyrir	af
konungdómi	konungdómur	nkeþ
.	.	pl

Allar	allur	fovfn
líkur	líkur	nvfn
benda	benda	sfg3fn
til	til	af
að	að	c
hún	hún	fpven
sé	vera	svg3en
eftir	eftir	af
Íslending	Íslendingur	nkeo-s
;	;	pk
hún	hún	fpven
er	vera	sfg3en
varðveitt	varðveittur	lvensf
í	í	af
íslensku	íslenskur	lheþsf
handriti	handrit	nheþ
,	,	pk
og	og	c
þar	þar	aa
er	vera	sfg3en
áberandi	áberandi	lkenof
áhugi	áhugi	nken
á	á	af
öllu	allur	foheþ
íslensku	íslenskur	lheþsf
.	.	pl

Drjúgur	drjúgur	lkensf
hluti	hluti	nken
af	af	af
svokölluðum	svokallaður	lkfþsf
Íslendingaþáttum	Íslendingaþáttur	nkfþ-s
,	,	pk
sem	sem	ct
eru	vera	sfg3fn
venjulega	venjulega	aa
gefnir	gefa	sþgkfn
út	út	aa
með	með	af
Íslendingasögum	Íslendingasaga	nvfþ-s
og	og	c
jafnvel	jafnvel	aa
taldir	telja	sþgkfn
til	til	af
þeirra	hún	fpvfe
,	,	pk
eru	vera	sfg3fn
varðveittir	varðveittur	lkfnsf
sem	sem	c
kaflar	kafli	nkfn
í	í	af
Morkinskinnu	Morkinskinna	nveþ-s
.	.	pl

16	16	ta
Hin	hinn	faven
handritsnefnda	handritsnefndur	lvenvf
bókin	bók	nveng
er	vera	sfg3en
kölluð	kalla	sþgven
Fagurskinna	Fagurskinna	nven-s
eftir	eftir	af
handriti	handrit	nheþ
sem	sem	ct
þó	þó	aa
brann	brenna	sfg3eþ
í	í	af
Kaupmannahöfn	Kaupmannahöfn	nveþ-s
árið	ár	nheog
1728	1728	ta
.	.	pl

Sagan	saga	nveng
byrjar	byrja	sfg3en
á	á	af
Hálfdani	Hálfdan	nkeþ-s
svarta	svartur	lkeþvf
,	,	pk
föður	faðir	nkeþ
Haralds	Haraldur	nkee-s
hárfagra	hárfagur	lkeevf
,	,	pk
og	og	c
nær	ná	sfg3en
til	til	af
Magnúss	Magnús	nkee-s
Erlingssonar	Erlingsson	nkee-s
,	,	pk
fram	fram	aa
til	til	af
atburða	atburður	nkfe
ársins	ár	nheeg
1177	1177	ta
.	.	pl

Handrit	handrit	nhen
bókarinnar	bók	nveeg
er	vera	sfg3en
norskt	norskur	lhensf
og	og	c
ekkert	enginn	fohen
sérstakt	sérstakur	lhensf
bendir	benda	sfg3en
til	til	af
annars	annar	fohee
en	en	c
að	að	c
hún	hún	fpven
sé	vera	svg3en
skráð	skrá	sþgven
í	í	af
Noregi	Noregur	nkeþ-s
af	af	af
heimamanni	heimamaður	nkeþ
.	.	pl

17	17	ta
Útgefandi	útgefandi	nken
sögunnar	saga	nveeg
í	í	af
Íslenskum	íslenskur	lhfþsf
fornritum	fornrit	nhfþ
,	,	pk
Bjarni	Bjarni	nken-s
Einarsson	Einarsson	nken-s
,	,	pk
segir	segja	sfg3en
að	að	c
það	það	fphen
hafi	hafa	svg3en
verið	vera	sþghen
«	«	pg
merkileg	merkilegur	lvensf
undantekning	undantekning	nven
á	á	af
þrettándu	þrettándi	lveþvf
öld	öld	nveþ
»	»	pg
ef	ef	c
höfundur	höfundur	nken
sögunnar	saga	nveeg
hafi	hafa	svg3en
verið	vera	sþghen
norskur	norskur	lkensf
og	og	c
gefur	gefa	sfg3en
þannig	þannig	aa
í	í	af
skyn	skyn	nheo
að	að	c
hann	hann	fpken
hafi	hafa	svg3en
líklega	líklega	aa
verið	vera	sþghen
íslenskur	íslenskur	lkensf
.	.	pl

18	18	ta
Þótt	þótt	c
það	það	fphen
megi	mega	svg3en
kallast	kalla	sþmhen
rétt	rétt	aa
fer	fara	sfg3en
það	það	fphen
hættulega	hættulega	aa
nærri	nærri	af
hringsönnun	hringsönnun	nveþ
ef	ef	c
ályktað	álykta	sþghen
er	vera	sfg3en
að	að	c
höfundur	höfundur	nken
verks	verk	nhee
hljóti	hljóta	svg3en
að	að	cn
vera	vera	sng
íslenskur	íslenskur	lkensf
af	af	af
því	það	fpheþ
að	að	c
allir	allur	fokfn
aðrir	annar	fokfn
höfundar	höfundur	nkfn
hliðstæðra	hliðstæður	lhfesf
verka	verk	nhfe
voru	vera	sfg3fþ
það	það	fphen
.	.	pl

Ef	ef	c
sú	sá	faven
niðurstaða	niðurstaða	nven
er	vera	sfg3en
tekin	taka	sþgven
gild	gildur	lvensf
og	og	c
sett	setja	sþgven
í	í	af
stöðu	staða	nveo
staðreyndar	staðreynd	nvee
verður	verða	sfg3en
hún	hún	fpven
að	að	c
enn	enn	aa
frekari	frekur	lvenvm
röksemd	röksemd	nven
fyrir	fyrir	af
íslenskum	íslenskur	lkeþsf
höfundskap	höfundskapur	nkeþ
enn	enn	aa
annarra	annar	fohfe
verka	verk	nhfe
:	:	pa
það	sá	fahen
sem	sem	ct
átti	eiga	sfg3eþ
að	að	cn
sanna	sanna	sng
verður	verða	sfg3en
að	að	af
rökum	rök	nhfþ
fyrir	fyrir	af
sönnuninni	sönnun	nveþg
.	.	pl

Þá	þá	aa
kemur	koma	sfg3en
að	að	af
Heimskringlu	Heimskringla	nveþ-s
,	,	pk
sem	sem	ct
hefur	hafa	sfg3en
lengi	lengi	aa
talist	telja	sþmhen
hápunktur	hápunktur	nken
konungasagnaritunar	konungasagnaritun	nvee
.	.	pl

Hún	hún	fpven
spannar	spanna	sfg3en
tímann	tími	nkeog
frá	frá	af
Ynglingum	Ynglingur	nkfþ-s
í	í	af
Svíþjóð	Svíþjóð	nveþ-s
,	,	pk
um	um	af
Hálfdan	Hálfdan	nkeo-s
svarta	svartur	lkeovf
til	til	af
Noregskonunga	Noregskonungur	nkfe-s
og	og	c
nær	ná	sfg3en
fram	fram	aa
til	til	af
Sverris	Sverrir	nkee-s
sögu	saga	nvee
,	,	pk
1177	1177	ta
.	.	pl

Í	í	af
Íslenskum	íslenskur	lhfþsf
fornritum	fornrit	nhfþ
er	vera	sfg3en
hún	hún	fpven
gefin	gefa	sþgven
út	út	aa
í	í	af
þremur	þrír	tfhfþ
bindum	bindi	nhfþ
,	,	pk
og	og	c
textinn	texti	nkeng
þekur	þekja	sfg3en
um	um	aa
1.200	1.200	ta
blaðsíður	blaðsíða	nvfo
,	,	pk
að	að	af
vísu	vís	lheþsf
mikið	mikið	aa
ódrýgðar	ódrýgður	lvfosf
af	af	af
neðanmálsgreinum	neðanmálsgrein	nvfþ
.	.	pl

19	19	ta
Lengi	lengi	aa
var	vera	sfg3eþ
það	það	fphen
ein	einn	tfven
af	af	af
þekktustu	þekktur	lvfþve
staðreyndum	staðreynd	nvfþ
íslenskrar	íslenskur	lveesf
bókmenntasögu	bókmenntasaga	nvee
að	að	c
Snorri	Snorri	nken-s
Sturluson	Sturluson	nken-s
væri	vera	svg3eþ
höfundur	höfundur	nken
Heimskringlu	Heimskringla	nvee-s
,	,	pk
en	en	c
um	um	af
það	það	fpheo
hafa	hafa	sfg3fn
nýlega	nýlega	aa
komið	koma	sþghen
fram	fram	aa
áleitnar	áleitinn	lvfnsf
efasemdir	efasemd	nvfn
.	.	pl

20	20	ta
Á	á	af
hinn	hinn	fakeo
bóginn	bógur	nkeog
hefur	hafa	sfg3en
nýlega	nýlega	aa
verið	vera	sþghen
gefin	gefa	sþgven
út	út	aa
heil	heill	lvensf
bók	bók	nven
sem	sem	ct
byggist	byggja	sfm3en
gersamlega	gersamlega	aa
á	á	af
því	það	fpheþ
að	að	c
Snorri	Snorri	nken-s
sé	vera	svg3en
höfundur	höfundur	nken
Egils	Egill	nkee-s
sögu	saga	nvee
sem	sem	ct
er	vera	sfg3en
aftur	aftur	aa
ályktað	álykta	sþghen
að	að	af
miklu	mikill	lheþsf
leyti	leyti	nheþ
af	af	af
svip	svipur	nkeþ
hennar	hún	fpvee
með	með	af
Heimskringlu	Heimskringla	nveþ-s
(	(	pa
sbr.	sbr.	ks
2.6.5	2.6.5	ta
)	)	pa
.	.	pl

21	21	ta
En	en	c
ályktanir	ályktun	nvfn
fræðimanna	fræðimaður	nkfe
um	um	af
aldur	aldur	nkeo
Heimskringlu	Heimskringla	nvee-s
og	og	c
tengsl	tengsl	nhfo
hennar	hún	fpvee
við	við	af
aðrar	annar	fovfo
konungasögur	konungasaga	nvfo
hafa	hafa	sfg3fn
lengst	lengi	aae
af	af	aa
byggst	byggja	sþmhen
mjög	mjög	aa
á	á	af
því	það	fpheþ
að	að	c
Snorri	Snorri	nken-s
væri	vera	svg3eþ
höfundur	höfundur	nken
hennar	hún	fpvee
,	,	pk
og	og	c
jafnvel	jafnvel	aa
frá	frá	af
hvaða	hvaða	fskeþ
tíma	tími	nkeþ
á	á	af
æviferli	æviferill	nkeþ
sínum	sinn	fekeþ
hann	hann	fpken
hefði	hafa	svg3eþ
samið	semja	sþghen
hana	hún	fpveo
,	,	pk
ekki	ekki	aa
fyrr	fyrr	aam
en	en	c
eftir	eftir	af
1220	1220	ta
.	.	pl

Þessi	þessi	fahfn
hugtök	hugtak	nhfn
eru	vera	sfg3fn
nánast	náið	aae
sama	samur	fbhee
eðlis	eðli	nhee
og	og	c
mana	mana	nhen
.	.	pl

Codrington	Codrington	n----s
lýsti	lýsa	sfg3eþ
því	það	fpheþ
hvernig	hvernig	aa
Melanesar	Melanesar	n----s
uppgötvuðu	uppgötva	sfg3fþ
hvort	hvort	c
hlutur	hlutur	nken
væri	vera	svg3eþ
hlaðinn	hlaðinn	lkensf
mana	mana	nheþ
.	.	pl

Sæi	sjá	svg3eþ
maður	maður	nken
stein	steinn	nkeo
sem	sem	ct
virtist	virða	sfm3eþ
eitthvað	einhver	fohen
óvenjulegur	óvenjulegur	lkensf
að	að	af
lit	litur	nkeþ
eða	eða	c
formi	form	nheþ
tók	taka	sfg3eþ
hann	hann	fpken
steininn	steinn	nkeog
,	,	pk
skoðaði	skoða	sfg3eþ
hann	hann	fpkeo
vandlega	vandlega	aa
og	og	c
teldi	telja	svg3eþ
hann	hann	fpken
að	að	c
ekki	ekki	aa
væri	vera	svg3eþ
um	um	af
venjulegan	venjulegur	lkeosf
stein	steinn	nkeo
að	að	cn
ræða	ræða	sng
þá	þá	aa
hlyti	hljóta	svg3eþ
þetta	þessi	fahen
að	að	cn
vera	vera	sng
steinn	steinn	nken
sem	sem	ct
hefði	hafa	svg3eþ
fólgið	fela	sþghen
í	í	af
sér	sig	fpkeþ
mana	mana	nheo
.	.	pl

Maðurinn	maður	nkeng
fór	fara	sfg3eþ
því	því	aa
með	með	af
steininn	steinn	nkeog
að	að	af
rótum	rót	nvfþ
aldintrés	aldintré	nhee
.	.	pl

Bæri	bera	svg3eþ
tréð	tré	nheng
góðan	góður	lkeosf
ávöxt	ávöxtur	nkeo
var	vera	sfg3eþ
ekki	ekki	aa
um	um	af
að	að	cn
villast	villa	snm
að	að	c
í	í	af
steininum	steinn	nkeþg
var	vera	sfg3eþ
mana	mana	nhen
,	,	pk
en	en	c
brygðist	bregða	svm3eþ
uppskeran	uppskera	nveng
sannaði	sanna	sfg3eþ
það	það	fphen
að	að	c
steinninn	steinn	nkeng
var	vera	sfg3eþ
bara	bara	aa
venjulegt	venjulegur	lhensf
grjót	grjót	nhen
og	og	c
þá	þá	aa
varð	verða	sfg3eþ
að	að	cn
finna	finna	sng
nýjan	nýr	lkeosf
stein	steinn	nkeo
.	.	pl

Yfirleitt	yfirleitt	aa
var	vera	sfg3eþ
ekki	ekki	aa
reynt	reyna	sþghen
að	að	cn
rækta	rækta	sng
garð	garður	nkeo
nema	nema	c
þar	þar	aa
væri	vera	svg3eþ
grafinn	grafa	sþgken
steinn	steinn	nken
sem	sem	ct
talinn	telja	sþgken
var	vera	sfg3eþ
gæddur	gæða	sþgken
mana	mana	nheþ
(	(	pa
Codrington	Codrington	n----s
,	,	pk
1891:163	1891:163	ta
)	)	pa
.	.	pl

trúarbragðafræðingar	trúarbragðafræðingur	nkfn
eru	vera	sfg3fn
ekki	ekki	aa
á	á	af
einu	einn	lheþsf
máli	mál	nheþ
um	um	af
hvort	hvort	c
tengja	tengja	sng
megi	mega	svg3en
mana	mana	nheo
